name,description,price,stock,weight,imageUrl,videoUrl
Beras Nanasmadu 5 KG ( Harga HET + Ongkir ),"Maksimum pembelian 2 produk

Expired Date 20220605

Beras Nanasmadu 5 KG 

“NANAS MADU” merupakan beras pilihan dengan citarasa pulen. Beras ini merupakan produksi langsung dari petani di daerah Jawa Barat. Beras dikemas secara vakum dan modern untuk menjaga mutu dan kualitas produk. 

Produk ini memiliki cita rasa nasi yang pulen dengan harga yang sangat bersahabat

Untuk saat ini PangananDotcom telah melayani sebagian besar Jabodetabek* namun Kami berkomitmen untuk melayani semua kota di Indonesia.

Mau beli pangan yang mudah, praktis dan berkualitas? Beli aja di PangananDotcom

#beras #nanas #madu #sehat #masyarakat #indonesia #tanpa #bahan #kimia
",52500,522,500,https://cf.shopee.co.id/file/89707fc0415393ff58ecbd7dcb00b76b,
Beras premium Koala Madu Pulen Wangi 5 kg (Harga + Ongkir),"Ecpired Date Agustus 2022

Beras premium Koala Madu Pulen Wangi 5 kg

Beras Pandan Wangi merupakan beras aromatik yang diproses dan dikemas secara modern dan higienis. Memiliki karakteristik nasi yang sangat pulen dan beraroma wangi yang khas
Diproses dengan teknologi canggih, modern & dikemas secara higienis. Bebas dari bahan kimia sehingga sangat baik dan aman dikonsumsi keluarga tercinta Anda

Mau beli pangan yang mudah, praktis dan berkualitas? Beli aja di iPangananDotcom

#beras #premium #koala #madu #pulen #wangi #masyarakat #indonesia #tanpabahankimia #halal",57500,217,500,https://cf.shopee.co.id/file/e0aba9b24c7e276614ee526025698471,
Minyak Goreng Sania Pouch 2Pack x 2L (Harga + Ongkir),"Expired Date 20230120

Minyak Goreng Sania 2L

Diolah dari kelapa sawit pilihan sehingga mengandung vitamin E yang tinggi. Tak ketinggalan, kandungan Omega 6 dan Omega 9 siap melengkapi kebutuhan harian keluarga Anda. Terdiri dari berbagai macam ukuran mulai dari botol 500 ml, 1 liter, 2 liter, dan 5 liter. Kemasan pouch berukuran 1 liter dan 2 liter. Atau jerigen 5 liter & 18 liter. Minyak goreng kelapa sawit yang diproses sedemikian rupa ini juga tidak mudah keruh ketika dipakai memasak dan tetap jernih pada suhu penyimpanan yang rendah. Selain itu, dengan bahan nabati yang digunakan, masakan Anda akan bebas dari kolesterol dan memberi kelezatan maksimal pada setiap sajian apapun di meja makan. Jernihnya melezatkan!

Mau beli pangan yang mudah, praktis dan berkualitas? Beli aja di iPangananDotcom

#minyak #goreng #sania #masyarakat #indonesia #tanpabahankimia #halal",58000,840,500,https://cf.shopee.co.id/file/1280890826cd30b622b1169c3a00b6b5,
Filma Minyak Goreng 2L @2Pcs (Harga + Ongkir) - SBY,"Maksimum pembelian 2 produk

Expired Date September 2022

FILMA Minyak Goreng 2L 

Minyak Goreng FILMA 
 

Tidak hanya menggunakan bahan-bahan masakan yang bersih dan sehat, memasak dengan minyak goreng sehat juga akan membantu Ibu menghadirkan hidangan lezat bernutrisi bagi keluarga. Kini Filma Minyak Goreng hadir dalam kemasan pouch praktis Filma Pouch 2L yang bisa jadi bahan andalan Ibu saat memasak.

Filma Minyak Goreng adalah minyak goreng non kolesterol yang terbuat dari buah sawit segar pilihan, diproduksi dengan Sistem Pemurnian Terintegrasi dan pengawasan mutu ekstra ketat sehingga menghasilkan minyak goreng yang jernih bernutrisi. Filma Minyak Goreng mengandung asam lemak tak jenuh yang dapat membantu menjaga kadar kolesterol, Omega 6 & Omega 9 yang merupakan asam lemak esensial yang diperlukan oleh tubuh, Vitamin D yang baik untuk membantu pembentukan dan pemeliharaan tulang, serta Vitamin E sebagai anti oksidan alami. Warna kuning keemasannya berasal dari kandungan Beta Karoten alami (Pro Vitamin A).

Hadirkan hidangan lezat bernutrisi di meja makan Anda dengan Filma Pouch 2L. Juga membuat hasil gorengan lebih garing dan renyah. Minyaknya yang tidak menempel tentu menambah kenikmatan saat makan.

Minyak Goreng non kolesterol
Terbuat dari buah sawit segar pilihan
Diproduksi dengan Sistem Pemurnian Terintegrasi dan pengawasan mutu ekstra ketat
Mengandung asam lemak tak jenuh yang dapat membantu menjaga kadar kolesterol
Omega 6 & Omega 9 yang merupakan asam lemak esensial yang diperlukan oleh tubuh, Vitamin D yang baik untuk membantu pembentukan dan pemeliharaan tulang, serta Vitamin E sebagai anti oksidan alami

Mau beli pangan yang mudah, praktis dan berkualitas? Beli aja di iPangananDotcom

#filma #minyak #goreng #gandum #masyarakat #indonesia #tanpabahankimia #halal",58000,166,500,https://cf.shopee.co.id/file/9a941b614331471b0145ebc91ef518ce,
INDOMIE - SOTO MIE 70G - 1 KARTON (Harga + Ongkir) - SBY,"Maksimum pembelian 1 produk

Expired date Desember 2021

Indomie Soto Nikmat dan Lezat 
Mie merupakan sebuah jenis makanan yang nikmat dan lezat. Anda bisa mengolah mie sesuai dengan selera Anda. Pada saat ini, mie instan adalah salah satu makanan favorite yang praktis dan disukai oleh banyak kalangan karena pembuatannya yang mudah, rasanya yang lezat, dan memiliki varian rasa yang berbeda-beda. Salah satu jenis mie instan yang terkenal di Indonesia adalah Indomie. Kali ini Indofood menghadirkan varian rasa Indomie soto. Salah satu karakteristik mie instan soto adalah kemasannya berwarna hijau cerah. Berbeda dengan Indomie rasa Soto Spesial. Dalam kemasannya, terdapat mie, bumbu bubuk, minyak bumbu yang gurih hampir seperti hidangan soto Lamongan. Mie terlihat berwarna sedikit putih dan teksturnya pun kenyal lembut. Mie instan dari Indomie terbuat dari bahan seperti tepung terigu, minyak sayur, tepung tapioka, garam, zat besi, dan antioksidan (TBHQ).  

Mau beli pangan yang mudah, praktis dan berkualitas? Beli aja di iPangananDotcom

#indomie #soto #mie #masyarakat #indonesia #tanpa #bahan #kimia",93000,2,500,https://cf.shopee.co.id/file/9de028cf715e455fbf4fea87d72a8101,
Gula Pasir Manis Kita 1Kg @4 Pcs - SBY (Harga HET + Ongkir),"Maksimum pembelian 2 produk

Gula Pasir Manis Kita 1 Kg

Expired Date  April 2022

Gula Manis Kita merupakan Gula Keluarga Indonesia
Gula produksi dalam negeri yang di proses dari 100% tebu asli pilihan dan diolah dengan teknologi modern sehingga menghasilkan gula dengan kualitas yang baik

Mau beli pangan yang mudah, praktis dan berkualitas? Beli aja di PangananDotcom

#gula #manis #kita #sehat #masyarakat #indonesia #tanpa #bahan #kimia",52000,144,500,https://cf.shopee.co.id/file/2e32fc3621941766479db16af1e163ca,
Gula MJ 1 kg,"Mawar Jaya Gula Pasir Lokal 1kg mengandung karbohidrat sederhana karena dapat larut dalam air dan langsung diserap tubuh untuk diubah menjadi energi. Gula ini umumnya dihasilkan dari tebu.
BPOM MD 251409003267, Shelf Life: 12",15400,6855,500,https://cf.shopee.co.id/file/17fdf3d29e170a1be1431e78a835180e,
Indomilk Full Cream UHT 1000 ml,"Susu UHT Indomilk Full Cream dibuat dengan susu sapi segar, mengandung nutrisi Vitamin A, B2, B6, D dan Fosfor untuk membantu pembentukan dan mempertahankan kepadatan tulang dan gigi keluarga. Susu UHT Indomilk diproses dengan Teknologi UHT (Ultra High Temperature) dan dikemas secara aseptic dengan menggunakan kemasan multi lapis kedap cahaya dan udara untuk menjaga kesegaran susu. Minum 2x sehari agar dapat memenuhi asupan kalsium and nutrisi harian keluarga Anda dan cocok untuk anak di atas 1 tahun.

Sukrosa : tidak ada (0) , karena tidak ditambah sukrosa (gula pasir) 
Lactosa : 11 g per serving (250 ml), 44 gram per 1 pack (1000 ml) atau 4,4 %

BPOM MD 400213002183, Shelf Life: 9 Bulan",16200,952,500,https://cf.shopee.co.id/file/bd59cab0d7434c961ad887cd54058dbd,
Indomilk Instant Plain Susu Bubuk Box 800 gr x 2,"Indomilk Susu Bubuk adalah susu pertumbuhan untuk anak usia 5-12 tahun yang diformulasi istimewa bebas gula dengan Omega 3, Tinggi Kalsium, Sumber Protein dan diperkaya Vitamin A, B1, B2, C, E, Iodium, Zink yang dapat mendukung Si Kecil menjadi anak tinggi, tangguh, dan tanggap. Tinggi kalsium yang berperan dalam pembentukan dan mempertahankan kepadatan tulang dan gigi, sehingga membantu anak tumbuh TINGGI secara fisik. Sumber protein dalam Indomilk Susu Bubuk juga dapat membantu membangun dan memperbaiki jaringan tubuh, sehingga membantu menjadi anak TANGGUH menghadapi setiap tantangan di sekolah. Dilengkapi dengan Omega 3, Indomilk Susu Bubuk membantu perkembangan fisik dan menjaga kesehatan jantung sehingga anak selalu TANGGAP menerima dan menyerap pelajaran di sekolah. Tersedia dalam beberapa bentuk kemasan box 400g dan 800g. BPOM MD 602809055116, Shelf Life: 18 Bulan",149400,47,500,https://cf.shopee.co.id/file/15cdba4f9eee980f888faf0956156f44,
DANCOW FORTIGRO INSTANT COKLAT/ PUTIH [800 GR],"DANCOW Fortigro Susu Coklat 800   

DANCOW Enriched Fortigro cocok diminum oleh anak pada usia diatas 1 tahun yang sedang mengalami pertumbuhan dan kegiatan fisik yang cukup beragam. Susu ini mempunyai kandungan gula yang lebih rendah 30% dan berbagai macam nutrisi penting lainnya untuk bisa mendukung pertumbuhan yang optimal bagi si kecil._x000D_

Manfaat :
- Memberikan nutrisi untuk anak pada usia diatas 1 tahun yang sedang mengalami pertumbuhan dan kegiatan fisik yang cukup beragam._x000D_
- Menunjang tumbuh kembang si kecil yang aktif
- Vitamin A, yang dapat membantu mempertahankan keutuhan lapisan permukaan (mata, saluran pencernaan dan kulit)
- Vitamin B2, yang berperan sebagai koenzim perubahan karbohidrat menjadi energy
- Zat besi, yang merupakan komponen hemoglobin dalam sel darah merah yang membawa oksigen ke seluruh bagian tubuh
- Kalsium, berperan dalam pembentukan dan mempertahankan kepadatan tulang dan gigi

Detail:
- Cocok diminum oleh anak pada usia diatas 1 tahun_x000D_
- Membantu pertumbuhan anak_x000D_
- Tidak membuat mual si kecil_x000D_ 
- Diperkaya dengan berbagai vitamin & mineral_x000D_
- Terdiri dari Protein, Kalsium dan Zat Besi diperkaya dengan Zinc untuk pertumbuhan optimal anak_x000D_
- Dancow Enriched dengan Growth Plus Formula, merupakan susu dengan tambahan vitamin dan mineral, mendukung 10 tanda anak bergizi baik_x000D_
- Kalsium, berperan dalam pembentukan dan mempertahankan kepadatan tulang dan gigi_x000D_
- Isi 800 g_x000D_
_x000D_
#DancowCoklat #InstantCoklat #DancowFortigro #Dancowmurah #dancowfortigro  #dancowcoklat  #dancowcoklatmurah  #fortigrocoklat #instant",73500,330,500,https://cf.shopee.co.id/file/9ccdd6f13fb1e1ff336f6ea27b711334,
